avg_mae_original,rc,avg_smape_original,p,status,elapsed_sec,q
14210.123946239639,13,22.970513697122232,1,ok,336.1594259738922,1
14159.10064303695,26,23.165963328435236,1,ok,181.5742528438568,1
14145.384233833436,13,23.417271447283117,1,ok,367.69319558143616,2
14068.008892457226,26,23.5759712045864,1,ok,202.22779059410095,2
14380.168586992884,13,25.259172295990453,2,ok,515.678450345993,1
14284.17195696385,26,25.49151091118573,2,ok,281.378591299057,1
14339.277028939598,13,25.214932146794265,2,ok,556.486823797226,2
14262.079929600024,26,25.481815170894816,2,ok,298.5078356266022,2
14339.523655497134,13,25.206969536910453,3,ok,726.9884870052338,1
14273.203148692968,26,25.487943234684195,3,ok,382.4183132648468,1
14455.877402543663,13,25.184992819192626,3,ok,692.3361961841583,2
14280.614838162553,26,25.35827632130675,3,ok,363.4796848297119,2
